frequency ; amplitude
 # Matching Pursuit, 38 iterations
 -36.523 ; 0.115 
 -35.645 ; 0.409 
 -33.594 ; 0.506 
 -33.301 ; 0.632 
 -32.520 ; 0.108 
 -32.324 ; 0.109 
 -31.738 ; 0.189 
 -30.078 ; 0.104 
 30.078 ; 0.104 
 31.738 ; 0.188 
 32.324 ; 0.116 
 32.520 ; 0.111 
 33.301 ; 0.645 
 33.594 ; 0.505 
 35.645 ; 0.412 
 36.523 ; 0.112 
# Orthogonal Matching Pursuit, 16 iterations
 -36.523 ; 0.127 
 -35.645 ; 0.390 
 -33.594 ; 0.539 
 -33.301 ; 0.544 
 -32.812 ; 0.156 
 -31.738 ; 0.139 
 31.738 ; 0.139 
 32.812 ; 0.156 
 33.301 ; 0.544 
 33.594 ; 0.539 
 35.645 ; 0.390 
 36.523 ; 0.127 
# Orthogonal Least Square, 13 iterations
 -35.645 ; 0.492 
 -33.496 ; 0.284 
 -33.301 ; 0.566 
 -32.715 ; 0.339 
 -31.055 ; 0.110 
 31.055 ; 0.114 
 32.715 ; 0.327 
 33.301 ; 0.549 
 33.496 ; 0.293 
 35.645 ; 0.376 
# Convex Relaxation
 -35.645 ; 0.314 
 -33.496 ; 0.193 
 -33.301 ; 0.454 
 -32.715 ; 0.158 
 -30.957 ; 0.032 
 30.957 ; 0.032 
 32.715 ; 0.158 
 33.301 ; 0.454 
 33.496 ; 0.193 
 35.645 ; 0.314 
